5 Minutes,Flow,Start Point,End Point
05/01/2016 19:15,154,"100,200","100,150"
05/01/2016 19:20,142,"100,200","100,150"
05/01/2016 19:25,144,"100,200","100,150"
05/01/2016 19:30,149,"100,200","100,150"
05/01/2016 19:35,159,"100,200","100,150"
05/01/2016 19:40,130,"100,200","100,150"
05/01/2016 19:45,144,"100,200","100,150"
05/01/2016 19:50,119,"100,200","100,150"
05/01/2016 19:55,130,"100,200","100,150"
05/01/2016 20:00,128,"100,200","100,150"
05/01/2016 20:05,141,"100,200","100,150"
05/01/2016 20:10,157,"100,200","100,150"
05/01/2016 20:15,149,"100,200","100,150"
05/01/2016 20:20,147,"100,200","100,150"
05/01/2016 20:25,133,"100,200","100,150"
05/01/2016 20:30,138,"100,200","100,150"
05/01/2016 20:35,127,"100,200","100,150"
05/01/2016 20:40,147,"100,200","100,150"
05/01/2016 20:45,137,"100,200","100,150"
05/01/2016 20:50,129,"100,200","100,150"
05/01/2016 20:55,159,"100,200","100,150"
05/01/2016 21:00,117,"100,200","100,150"
05/01/2016 21:05,131,"100,200","100,150"
05/01/2016 21:10,135,"100,200","100,150"
05/01/2016 21:15,131,"100,200","100,150"
05/01/2016 21:20,114,"100,200","100,150"
05/01/2016 21:25,125,"100,200","100,150"
05/01/2016 21:30,115,"100,200","100,150"
05/01/2016 21:35,112,"100,200","100,150"
05/01/2016 21:40,128,"100,200","100,150"
05/01/2016 21:45,136,"100,200","100,150"
05/01/2016 21:50,111,"100,200","100,150"
05/01/2016 21:55,110,"100,200","100,150"
05/01/2016 22:00,115,"100,200","100,150"
05/01/2016 22:05,102,"100,200","100,150"
05/01/2016 22:10,116,"100,200","100,150"
05/01/2016 22:15,104,"100,200","100,150"
05/01/2016 22:20,111,"100,200","100,150"
05/01/2016 22:25,83,"100,200","100,150"
05/01/2016 22:30,100,"100,200","100,150"
05/01/2016 22:35,77,"100,200","100,150"
05/01/2016 22:40,78,"100,200","100,150"
05/01/2016 22:45,76,"100,200","100,150"
05/01/2016 22:50,85,"100,200","100,150"
05/01/2016 22:55,89,"100,200","100,150"
05/01/2016 23:00,80,"100,200","100,150"
05/01/2016 23:05,67,"100,200","100,150"
05/01/2016 23:10,74,"100,200","100,150"
05/01/2016 23:15,73,"100,200","100,150"
05/01/2016 23:20,70,"100,200","100,150"
05/01/2016 23:25,76,"100,200","100,150"
05/01/2016 23:30,54,"100,200","100,150"
05/01/2016 23:35,57,"100,200","100,150"
05/01/2016 23:40,58,"100,200","100,150"
05/01/2016 23:45,52,"100,200","100,150"
05/01/2016 23:50,47,"100,200","100,150"
05/01/2016 23:55,52,"100,200","100,150"
06/01/2016 0:00,10,"100,200","100,150"
06/01/2016 0:05,11,"100,200","100,150"
06/01/2016 0:10,12,"100,200","100,150"
06/01/2016 0:15,51,"100,200","100,150"
06/01/2016 0:20,48,"100,200","100,150"
06/01/2016 0:25,46,"100,200","100,150"
06/01/2016 0:30,56,"100,200","100,150"
06/01/2016 0:35,34,"100,200","100,150"
06/01/2016 0:40,40,"100,200","100,150"
06/01/2016 0:45,40,"100,200","100,150"
06/01/2016 0:50,30,"100,200","100,150"
06/01/2016 0:55,22,"100,200","100,150"
06/01/2016 1:00,35,"100,200","100,150"
06/01/2016 1:05,34,"100,200","100,150"
06/01/2016 1:10,33,"100,200","100,150"
06/01/2016 1:15,28,"100,200","100,150"
06/01/2016 1:20,22,"100,200","100,150"
06/01/2016 1:25,35,"100,200","100,150"
06/01/2016 1:30,22,"100,200","100,150"
06/01/2016 1:35,21,"100,200","100,150"
06/01/2016 1:40,33,"100,200","100,150"
06/01/2016 1:45,26,"100,200","100,150"
06/01/2016 1:50,23,"100,200","100,150"
06/01/2016 1:55,17,"100,200","100,150"
06/01/2016 2:00,25,"100,200","100,150"
06/01/2016 2:05,11,"100,200","100,150"
06/01/2016 2:10,21,"100,200","100,150"
06/01/2016 2:15,27,"100,200","100,150"
06/01/2016 2:20,25,"100,200","100,150"
